feature,pb_corr,pb_p_value,mutual_info
slope_64,-0.04109239679729976,2.625373272581936e-11,0.0026571281510213013
slope_16,-0.03476672187925021,1.7071316131393593e-08,0.0014573839876647898
atr14,0.011240306021134107,0.06834304103658304,0.0013750542235409363
slope_32,-0.03764237416059832,1.020996588382519e-09,0.0012857016684078015
slope_8,-0.021667655753700426,0.0004414987037035295,0.0012689892350385146
bb_z,-0.03798987808442453,7.160393389304511e-10,0.001215148155620488
ret_16,-0.03536591747810735,9.660590098830323e-09,0.001065907831152818
ret_4,-0.0214030700561988,0.0005184674526999893,0.000975085426534128
hl_range,0.02516338258326151,4.48357355368205e-05,0.000954763363774952
rsi14,-0.036139458213919826,4.569472549355287e-09,0.0009424690380771678
ret_1,-0.013845522681287994,0.024752776522715996,0.0008705906112719125
lower_shadow,-0.013127647696572119,0.033269503496150564,0.00043234939049364984
body,-0.018468848865769296,0.0027436729623036885,0.00040338528250186134
upper_shadow,0.00937494241628164,0.12845202647943707,0.00039242038748431296
vol_chg,0.002327969311226456,0.7058063644964271,0.0002689528650150763
