feature,ks_stat,p_value
hl_range,0.22966030222430672,5.368439008241095e-302
atr14,0.0997119399269597,9.769333522305907e-57
ret_1,0.06866114234266973,4.22043187477384e-27
ret_16,0.06646393441583957,2.0247060572437957e-25
ret_4,0.0641288428549095,1.0782656110380853e-23
lower_shadow,0.06035629856384124,4.908702676399211e-21
upper_shadow,0.054747918717668126,2.2090308112318487e-17
slope_32,0.03265600110701264,1.848324794091375e-06
body,0.03062545245268089,9.850698676382351e-06
slope_64,0.026868123423457693,0.0001641163986057602
slope_16,0.02174191377273002,0.00421181309689168
slope_8,0.016387246327210954,0.06017189852931837
vol_chg,0.008845053794335075,0.6855871029965714
bb_z,0.008732156287366899,0.7008480062443914
rsi14,0.006740704298054068,0.9271409143978369
