X_SL_ATR,Y_TP_ATR,trades,win_rate,avg_return,avg_bars,tp_rate,sl_rate,timeout_rate
1.75,3.5,34983,0.42915130206100105,0.00013604793725233,10.340393905611297,0.16982534373838723,0.4668267444187177,0.3633479118428951
2.0,3.5,34983,0.4517622845382043,0.00013015983966318813,10.983506274476174,0.17639996569762456,0.4157447903267301,0.4078552439756453
1.5,3.5,34983,0.3985650172941143,0.00012447927761163118,9.54652259668982,0.1606494583083212,0.5263985364319812,0.3129520052596976
1.0,3.5,34983,0.3110082039847926,0.00012285095170768724,7.479775891147129,0.1348083354772318,0.6600062887688306,0.20518537575393764
1.25,3.5,34983,0.3588886030357602,0.00011310998018515128,8.59165880570563,0.14918674784895522,0.5917731469570935,0.2590401051939514
1.75,3.0,34983,0.4373267015407484,0.00010615945372302708,9.925363748106223,0.21787725466655233,0.46153846153846156,0.32058428379498616
1.0,3.0,34983,0.3184975559557499,0.0001034186682589918,7.131292341994683,0.1739987994168596,0.6537175199382558,0.17228368064488467
2.0,3.0,34983,0.46016636652088155,0.00010231381244709886,10.555384043678359,0.22633850727496213,0.41054226338507277,0.3631192293399651
1.5,3.0,34983,0.4065689048966641,0.00010088949353623,9.143212417459909,0.20721493296744134,0.5206243032329989,0.2721607637995598
1.25,3.0,34983,0.3667495640739788,9.194621101825198e-05,8.21118829145585,0.19292227653431668,0.5854557928136523,0.22162193065203098
1.75,2.5,34983,0.45313437955578423,7.062326590792418e-05,9.317840093759827,0.2798787982734471,0.4509904810908155,0.26913072063573734
1.0,2.5,34983,0.33353343052339707,6.956238879590539e-05,6.638338621616214,0.22339422004973844,0.6408827144613097,0.13572306548895177
2.0,2.5,34983,0.4762027270388474,6.59627379381494e-05,9.927193208129664,0.2907983877883543,0.400594574507618,0.3086070377040277
1.5,2.5,34983,0.42203355915730495,6.169142586471149e-05,8.563931052225367,0.2656718977789212,0.5095332018408941,0.22479490038018465
1.25,2.5,34983,0.38189977989309093,5.324961680727177e-05,7.671040219535203,0.24740588285738788,0.5735928879741589,0.17900122916845324
1.0,2.0,34983,0.3607752336849327,4.313419039987901e-05,5.914958694222908,0.2905411199725581,0.6176142697881828,0.09184461023925906
1.75,2.0,34983,0.48149100991910354,4.1387286465261114e-05,8.415201669382272,0.3627762055855701,0.43281022210788095,0.20441357230654889
2.0,2.0,34983,0.504816625217963,3.6205041315252065e-05,8.992825086470571,0.37635422919703854,0.38452962867678586,0.23911614212617557
1.5,2.0,34983,0.45013292170482805,3.29312210155893e-05,7.708486979389989,0.3442815081611068,0.48926621501872336,0.1664522768201698
1.25,2.0,34983,0.409541777434754,2.371017273587441e-05,6.870337020838693,0.3210416488008461,0.5517822942572106,0.12717605694194323
1.0,1.5,34983,0.41117114026813023,2.19272806645555e-05,4.912443186690679,0.3785267129748735,0.5737072292256239,0.04776605779950262
1.75,1.5,34983,0.5332590115198811,1.2756014104935347e-05,7.129462881971243,0.4693994225766801,0.39762170196952806,0.13297887545379183
2.0,1.5,34983,0.5562701883772118,1.1112667379077697e-05,7.653574593373924,0.4857502215361747,0.3526570048309179,0.16159277363290742
1.5,1.5,34983,0.5015578995512106,4.64322463434736e-06,6.496212446045222,0.4464454163450819,0.45070462796215305,0.10284995569276506
1.25,1.5,34983,0.4608809993425378,-8.021118636498408e-08,5.752422605265415,0.4168310322156476,0.5099333962210216,0.07323557156333076
